Op	Type	Range tested	Scalar	Hwy	Translated 1 ULP	Sleef 1 ULP	Translated 3.5 ULP	Sleef 3.5 ULP
Cosh	f32		4.6 ns (7.0x)	N/A	1.8 ns (2.8x)	1.6 ns (2.5x)	0.7 ns (1.0x)	0.7 ns (1.0x)
Cosh	f64		5.1 ns (2.7x)	N/A	3.7 ns (2.0x)	3.7 ns (2.0x)	1.8 ns (1.0x)	1.9 ns (1.0x)
Tanh	f32		12.7 ns (18.1x)	0.7 ns (1.0x)	2.1 ns (2.9x)	1.9 ns (2.7x)	0.8 ns (1.1x)	0.7 ns (1.0x)
Tanh	f64		15.4 ns (8.0x)	1.9 ns (1.0x)	4.4 ns (2.3x)	4.4 ns (2.3x)	2.1 ns (1.1x)	2.2 ns (1.1x)
Asinh	f32		7.8 ns (6.4x)	1.2 ns (1.0x)	3.2 ns (2.6x)	3.5 ns (2.8x)	N/A	N/A
Asinh	f64		9.0 ns (2.5x)	3.6 ns (1.0x)	7.9 ns (2.2x)	9.4 ns (2.6x)	N/A	N/A
Acosh	f32		6.0 ns (6.2x)	1.0 ns (1.0x)	2.8 ns (2.8x)	2.9 ns (2.9x)	N/A	N/A
Acosh	f64		7.5 ns (2.2x)	3.4 ns (1.0x)	7.1 ns (2.1x)	7.5 ns (2.2x)	N/A	N/A
Atanh	f32		15.8 ns (10.1x)	1.6 ns (1.0x)	3.0 ns (1.9x)	2.7 ns (1.8x)	N/A	N/A
Atanh	f64		19.2 ns (7.7x)	2.5 ns (1.0x)	6.2 ns (2.5x)	6.1 ns (2.5x)	N/A	N/A
Erf	f32		13.4 ns (7.2x)	N/A	2.0 ns (1.1x)	1.9 ns (1.0x)	N/A	N/A
Erf_v2	f32		13.1 ns (1.1x)	N/A	13.1 ns (1.1x)	11.9 ns (1.0x)	N/A	N/A
Erf	f64		13.9 ns (2.9x)	N/A	4.8 ns (1.0x)	5.4 ns (1.1x)	N/A	N/A
Erf_v2	f64		15.5 ns (1.6x)	N/A	12.7 ns (1.3x)	10.0 ns (1.0x)	N/A	N/A
Erfc	f32		20.2 ns (1.0x)	N/A	26.3 ns (1.3x)	27.3 ns (1.4x)	N/A	N/A
Erfc	f64		15.8 ns (1.0x)	N/A	19.8 ns (1.3x)	17.8 ns (1.1x)	N/A	N/A
Gamma	f32		46.9 ns (4.6x)	N/A	10.7 ns (1.0x)	10.3 ns (1.0x)	N/A	N/A
Gamma_v2	f32		27.5 ns (2.4x)	N/A	11.3 ns (1.0x)	11.4 ns (1.0x)	N/A	N/A
Gamma_v3	f32		72.1 ns (6.3x)	N/A	11.4 ns (1.0x)	11.6 ns (1.0x)	N/A	N/A
Gamma	f64		65.9 ns (2.4x)	N/A	31.8 ns (1.2x)	27.1 ns (1.0x)	N/A	N/A
Gamma_v2	f64		24.7 ns (1.0x)	N/A	28.4 ns (1.2x)	25.0 ns (1.0x)	N/A	N/A
Gamma_v3	f64		93.1 ns (3.8x)	N/A	29.3 ns (1.2x)	24.4 ns (1.0x)	N/A	N/A
LogGamma	f32		15.8 ns (1.7x)	N/A	9.3 ns (1.0x)	10.0 ns (1.1x)	N/A	N/A
LogGamma_v2	f32		14.7 ns (1.2x)	N/A	12.3 ns (1.0x)	12.9 ns (1.1x)	N/A	N/A
LogGamma_v3	f32		60.3 ns (4.9x)	N/A	12.3 ns (1.0x)	13.2 ns (1.1x)	N/A	N/A
LogGamma	f64		16.7 ns (1.0x)	N/A	27.2 ns (1.6x)	26.4 ns (1.6x)	N/A	N/A
LogGamma_v2	f64		15.4 ns (1.0x)	N/A	34.1 ns (2.2x)	30.0 ns (2.0x)	N/A	N/A
LogGamma_v3	f64		107.6 ns (3.6x)	N/A	33.3 ns (1.1x)	29.9 ns (1.0x)	N/A	N/A
